Source,Target
0,109
0,281
0,62
0,200
0,562
0,374
0,156
0,454
0,271
0,76
0,465
0,64
0,603
0,773
0,333
0,135
0,332
0,177
0,701
1,620
1,784
1,258
1,413
1,452
1,615
1,57
1,373
1,458
1,141
1,98
2,566
2,139
2,316
2,575
2,44
2,685
2,57
2,597
2,803
2,719
2,753
2,656
2,433
2,801
2,800
2,209
3,55
3,400
3,552
3,65
3,589
3,62
3,388
3,633
3,579
3,647
3,349
3,396
3,500
4,489
4,373
4,383
4,244
4,597
4,790
4,794
4,817
4,162
4,726
4,739
4,581
4,689
4,172
4,372
4,792
4,630
4,260
4,24
4,451
5,370
5,577
5,413
5,55
5,258
5,317
5,477
5,243
5,781
5,590
5,132
5,32
5,85
5,829
5,619
5,280
5,88
5,297
6,340
6,404
6,786
6,544
6,76
6,779
6,702
6,38
6,614
6,170
6,643
6,67
6,810
6,516
6,145
7,350
7,605
7,289
7,658
7,776
7,667
7,319
7,599
7,357
7,572
7,54
8,73
8,475
8,15
8,87
8,796
8,727
8,523
8,662
8,806
8,183
8,426
8,600
9,122
9,359
9,247
9,427
9,655
9,677
9,347
9,463
9,787
9,263
9,520
10,717
10,408
10,612
10,780
10,32
10,115
10,674
10,380
10,773
10,353
10,233
10,18
10,190
10,238
11,460
11,193
11,809
11,177
11,627
11,451
11,345
11,518
11,605
11,505
11,287
11,547
11,300
11,275
11,145
11,591
11,428
12,700
12,224
12,496
12,817
12,732
12,160
12,375
12,222
12,390
12,798
12,783
12,484
12,705
12,45
12,448
13,537
13,347
13,613
13,828
13,74
13,329
13,255
13,309
13,195
13,265
13,64
13,101
13,703
13,488
13,442
13,600
13,417
13,675
13,792
14,332
14,760
14,556
14,504
14,624
14,693
14,199
14,389
14,53
14,392
14,806
14,618
15,320
15,811
15,429
15,581
15,707
15,589
15,761
15,103
15,816
15,701
15,574
15,716
16,825
16,689
16,740
16,301
16,462
16,674
16,328
16,416
16,476
16,226
16,273
16,785
17,142
17,678
17,86
17,801
17,196
17,344
17,224
17,432
17,97
17,483
17,486
17,95
17,244
17,180
17,751
17,418
17,160
18,508
18,154
18,496
18,510
18,413
18,507
18,437
18,606
18,305
18,559
18,817
18,386
18,140
18,126
19,180
19,175
19,208
19,249
19,375
19,192
19,56
19,318
19,272
19,537
19,791
19,152
19,117
19,755
19,777
19,201
19,512
20,541
20,516
20,86
20,258
20,760
20,685
20,204
20,398
20,731
20,494
20,614
20,117
20,354
20,798
20,384
20,445
21,457
21,600
21,576
21,518
21,83
21,238
21,299
21,371
21,201
22,637
22,590
22,584
22,669
22,529
22,621
22,821
22,244
22,238
22,233
22,285
22,273
22,167
22,155
22,550
22,822
22,416
22,710
22,801
23,564
23,396
23,292
23,628
23,724
23,272
23,577
23,683
23,798
23,332
24,573
24,748
24,464
24,133
24,805
24,540
24,779
24,590
24,733
24,366
24,383
24,793
24,246
24,520
25,542
25,184
25,223
25,293
25,411
25,799
25,126
25,220
25,639
25,28
25,95
25,74
25,579
