Source,Target
0,599
0,262
0,591
0,715
0,497
0,612
0,71
0,652
0,686
0,640
0,187
0,162
0,221
0,34
0,643
0,35
0,429
0,66
0,414
1,490
1,639
1,17
1,529
1,51
1,633
1,562
1,527
1,706
1,479
1,363
2,686
2,206
2,13
2,308
2,823
2,685
2,393
2,209
2,704
3,305
3,785
3,776
3,665
3,9
3,216
3,271
3,262
3,109
3,397
3,21
3,383
3,421
3,716
3,568
3,597
3,595
3,808
3,789
4,820
4,37
4,778
4,189
4,332
4,712
4,197
4,828
4,184
4,771
4,823
4,172
4,779
4,214
4,31
4,456
4,176
4,764
4,614
4,364
4,112
4,241
4,826
5,351
5,322
5,81
5,419
5,411
5,145
5,319
5,240
5,499
5,721
5,728
5,228
5,175
5,266
5,445
5,751
5,299
5,434
5,589
5,481
6,253
6,246
6,460
6,765
6,228
6,105
6,384
6,55
6,191
6,68
6,700
6,613
6,457
6,416
6,561
6,150
6,433
6,564
6,323
6,791
6,710
6,157
6,486
7,211
7,253
7,19
7,625
7,402
7,353
7,694
7,406
7,124
7,439
7,534
7,32
7,250
7,90
7,219
7,703
8,382
8,753
8,606
8,95
8,694
8,150
8,742
8,808
8,747
8,374
8,391
8,90
8,565
8,129
8,798
8,76
8,84
8,123
8,821
8,359
8,466
8,680
9,135
9,506
9,423
9,793
9,757
9,123
9,718
9,159
9,741
9,659
9,524
9,410
9,34
9,39
9,523
9,170
9,599
9,336
10,392
10,93
10,346
10,37
10,520
10,464
10,345
10,454
10,649
10,636
10,148
10,308
10,222
10,192
10,419
10,646
10,216
10,269
10,219
11,675
11,437
11,660
11,202
11,130
11,163
11,296
11,567
11,228
12,640
12,295
12,303
12,349
12,673
12,95
12,329
12,141
12,531
12,799
12,41
12,386
12,113
12,448
12,753
12,93
12,656
12,269
12,649
13,39
13,237
13,436
13,431
13,594
13,574
13,568
13,696
13,200
13,188
13,43
13,554
13,534
13,148
13,32
14,136
14,803
14,731
14,155
14,738
14,347
14,575
14,684
14,506
14,615
14,333
14,468
14,270
14,102
14,366
14,279
14,714
15,126
15,507
15,182
15,482
15,649
15,427
15,559
15,577
15,164
15,209
15,267
15,132
15,655
15,336
16,456
16,182
16,563
16,797
16,507
16,525
16,271
16,779
16,627
16,170
16,589
16,584
16,587
16,207
16,582
17,683
17,440
17,358
17,760
17,591
17,815
17,788
17,523
17,587
17,463
17,754
17,110
17,726
17,160
17,396
17,28
17,699
17,255
17,437
17,154
17,654
17,667
17,816
18,600
18,531
18,184
18,194
