Source,Target
0,597
0,16
0,6
0,202
0,704
0,442
0,710
0,21
0,187
0,27
0,98
0,619
0,37
0,576
1,10
1,13
1,508
1,537
1,632
1,489
1,139
1,387
1,448
1,617
1,182
1,263
1,669
2,231
2,334
2,389
2,527
2,84
2,707
2,689
2,450
2,772
2,459
2,117
2,27
2,234
2,264
2,190
2,107
2,490
2,92
3,400
3,421
3,522
3,21
3,180
3,480
3,322
3,415
3,377
3,477
3,94
4,26
4,412
4,250
4,523
4,413
4,338
4,767
4,375
4,591
4,333
4,507
4,469
4,28
4,147
4,142
4,156
4,697
4,724
4,349
4,754
4,626
4,137
4,384
4,169
5,803
5,629
5,82
5,737
5,813
5,96
5,118
5,36
5,770
5,153
5,38
5,331
5,83
5,512
6,491
6,455
6,511
6,331
6,201
6,313
6,383
6,260
7,765
7,776
7,506
7,746
7,573
7,632
7,531
7,371
7,669
7,302
7,221
7,52
7,678
7,570
8,65
8,37
8,591
8,64
8,434
8,301
8,74
8,735
8,829
8,578
8,810
8,49
8,816
9,547
9,391
9,338
9,707
9,42
9,168
9,439
9,591
9,480
9,772
9,796
10,628
10,124
10,20
10,587
10,554
10,801
10,582
10,97
10,441
10,159
10,245
10,449
10,683
10,139
10,569
10,603
10,213
10,242
10,294
11,222
11,35
11,417
11,230
11,378
11,20
11,637
11,368
11,593
11,666
11,767
11,191
11,819
11,213
11,261
12,797
12,570
12,532
12,493
12,180
12,209
12,408
12,250
12,37
12,410
12,636
12,283
12,799
12,142
13,459
13,566
13,537
13,447
13,484
13,756
13,573
13,721
13,41
13,475
13,174
13,269
13,763
14,662
14,556
14,381
14,709
14,821
14,177
14,191
14,18
14,617
14,104
14,454
14,430
14,392
14,707
15,339
15,141
15,608
15,91
15,241
15,143
15,668
15,772
15,329
15,101
15,552
15,35
15,487
15,138
15,18
16,261
16,641
16,569
16,124
16,550
16,585
16,776
16,746
16,610
16,781
16,575
16,502
16,190
16,152
16,218
17,257
17,177
17,482
17,429
17,311
17,594
17,434
17,206
17,431
17,692
17,42
17,139
17,397
17,64
17,227
18,715
18,53
18,737
18,725
18,763
18,170
18,522
19,571
19,563
19,248
19,423
19,695
19,592
19,192
19,170
19,432
19,552
19,183
19,63
19,698
19,530
19,599
19,429
19,388
19,626
19,443
19,784
20,700
20,76
20,79
20,94
20,616
20,518
20,201
20,343
20,98
20,732
20,289
20,506
20,721
20,92
20,40
20,773
20,587
20,148
20,86
21,316
21,431
21,693
21,690
21,48
21,589
21,637
21,787
21,160
21,284
22,557
22,707
22,351
22,116
22,355
22,73
22,100
22,685
22,586
22,83
22,64
23,96
23,503
23,543
23,80
23,171
23,55
23,185
23,373
23,562
23,751
23,344
23,107
23,691
23,390
23,165
23,712
23,72
23,809
23,648
23,487
23,111
24,693
24,315
24,512
24,392
24,711
24,574
24,782
24,366
24,735
24,113
24,563
24,314
24,653
25,466
25,88
25,486
25,277
25,187
25,367
25,451
25,802
25,159
25,568
25,151
25,379
25,36
25,279
25,310
25,643
25,699
25,541
25,40
26,729
26,456
26,732
26,275
26,514
26,126
26,366
26,89
26,529
26,400
26,361
26,829
26,495
26,507
26,314
26,538
26,436
27,84
27,112
27,378
27,551
27,181
27,703
27,197
27,145
27,391
27,211
27,100
27,321
27,199
28,667
28,515
28,302
28,158
28,684
28,520
28,638
28,177
28,201
28,718
28,803
28,612
28,237
28,227
28,524
28,315
28,735
28,162
28,69
28,254
28,620
29,124
29,690
29,230
29,194
29,492
29,733
29,43
29,310
29,269
29,565
29,182
29,635
29,199
29,333
29,616
29,756
29,184
29,582
30,541
30,103
30,594
30,225
30,386
30,185
30,580
30,425
30,52
30,565
30,655
30,759
30,209
30,307
31,719
31,123
31,480
31,628
31,353
31,819
31,137
32,599
32,412
32,656
32,701
32,359
32,149
32,49
32,467
32,66
32,587
32,594
32,561
32,338
33,158
33,756
33,498
33,85
33,201
33,680
33,253
33,664
33,230
33,513
33,57
33,325
33,557
33,157
34,755
34,240
34,426
34,48
34,84
34,207
34,100
34,464
34,123
34,128
34,645
34,405
34,329
34,545
34,578
34,427
34,765
35,765
35,53
35,269
35,261
35,358
35,142
35,50
35,641
35,245
35,647
35,304
35,134
36,591
36,536
36,732
36,548
36,459
36,343
36,171
36,393
36,577
36,84
36,409
36,754
37,761
37,654
37,143
37,459
37,382
37,246
37,349
37,365
37,592
37,421
37,412
37,486
37,283
37,394
37,671
37,464
37,669
37,496
38,279
38,128
38,615
38,378
38,353
38,546
38,819
38,56
38,793
38,132
38,425
38,453
38,718
38,101
38,630
38,312
38,659
39,45
39,573
39,645
39,488
39,43
39,71
39,297
39,811
39,527
39,91
39,314
40,546
40,319
40,471
40,91
40,529
40,670
40,256
40,483
40,309
40,170
40,554
40,495
40,687
40,527
40,812
41,267
41,94
41,235
41,61
41,827
41,582
41,440
41,383
41,543
41,389
41,591
41,601
42,374
42,363
42,600
42,820
42,171
42,152
42,802
42,393
42,565
42,553
43,304
43,807
43,374
43,241
43,681
43,687
43,203
43,555
43,77
43,558
43,349
43,449
43,621
43,573
43,406
44,292
44,200
44,786
44,532
44,737
44,536
44,633
44,426
44,637
45,48
45,531
45,159
45,720
45,640
45,581
45,385
45,802
45,529
45,678
45,239
45,646
46,215
46,660
46,588
46,662
46,339
46,75
46,771
46,460
46,777
46,772
46,442
46,378
46,578
46,258
47,221
47,802
47,366
47,629
47,80
47,403
47,374
47,62
47,447
47,612
47,354
47,689
47,427
48,323
48,202
48,143
48,625
