Source,Target
0,708
0,704
0,580
0,666
0,307
0,262
0,125
0,95
0,467
0,568
0,349
0,471
0,472
1,756
1,746
1,653
1,12
1,558
1,407
1,442
1,713
1,314
1,567
1,113
1,267
1,640
1,244
1,438
1,762
1,412
1,277
1,550
1,390
1,785
1,384
2,572
2,173
2,583
2,138
2,590
2,19
2,536
2,506
2,475
2,347
3,696
3,747
3,341
3,42
3,763
3,333
3,270
3,799
3,546
3,392
3,123
3,736
3,37
3,767
3,96
3,668
3,719
3,223
3,127
3,287
3,388
4,278
4,823
4,562
4,512
4,592
4,408
4,805
4,785
4,336
4,502
4,25
4,509
4,540
5,626
5,126
5,619
5,623
5,104
5,560
5,79
5,316
5,786
5,649
5,697
5,271
5,406
5,314
5,135
5,71
5,348
5,375
5,753
6,663
6,595
6,619
6,286
6,827
6,18
6,413
6,302
6,274
6,576
6,416
6,741
6,332
6,276
6,66
6,189
6,825
6,248
6,486
7,518
7,273
7,599
7,465
7,559
7,62
7,363
7,567
7,300
7,681
7,149
7,821
7,271
7,609
7,434
7,79
7,660
7,290
8,262
8,70
8,397
8,527
8,682
8,443
8,75
8,23
8,543
8,255
8,364
8,318
8,436
8,91
8,326
9,794
9,525
9,493
9,370
9,348
9,390
9,673
9,691
9,375
9,701
9,549
9,472
9,620
9,459
9,829
9,50
10,556
10,489
10,281
10,180
10,273
10,290
10,284
10,721
10,673
10,742
11,721
11,473
11,782
11,469
11,331
11,677
11,584
11,415
11,64
11,174
11,259
12,181
12,390
12,25
12,464
12,667
12,594
12,590
12,92
12,810
12,27
12,640
13,681
13,306
13,47
13,655
13,148
13,586
13,574
13,522
13,559
13,794
13,389
13,417
13,764
13,292
14,551
14,392
14,604
14,818
14,315
14,571
14,508
14,394
14,754
14,126
14,779
14,291
15,266
15,716
15,236
15,178
15,72
15,149
15,514
15,148
15,267
15,537
15,483
15,123
15,454
15,294
16,488
16,819
16,561
16,339
16,249
16,140
16,654
16,260
16,28
16,464
16,171
16,313
16,736
16,283
16,59
17,167
17,795
17,231
17,748
17,657
17,505
17,202
17,160
17,333
17,278
17,254
17,674
17,216
17,92
17,104
17,497
17,168
17,500
17,82
18,69
18,816
18,66
18,226
18,238
18,314
18,338
18,337
18,354
18,438
18,124
18,606
18,581
18,555
19,52
19,478
19,419
19,362
19,476
19,594
19,268
19,104
19,146
19,420
20,209
20,370
20,698
20,500
20,625
20,512
20,460
20,71
20,375
20,313
20,627
20,814
20,54
21,150
21,706
21,164
21,217
21,553
21,220
21,402
21,750
21,762
21,435
21,765
21,586
21,185
21,659
21,70
21,540
21,234
22,396
22,592
22,327
22,681
22,360
22,757
22,724
22,68
22,108
22,802
22,148
22,465
23,563
23,772
23,697
23,569
23,196
23,248
23,26
23,377
23,629
23,225
23,748
23,801
23,378
23,206
23,703
23,756
23,823
24,785
24,253
24,589
24,339
24,90
24,561
24,569
24,380
24,439
24,396
24,722
24,803
24,405
24,661
24,797
24,573
24,499
24,626
24,113
25,630
25,37
25,155
25,238
25,466
25,581
25,331
25,245
25,60
25,696
25,713
25,661
25,66
25,767
25,806
25,368
26,611
26,197
26,83
26,379
26,179
26,598
26,736
26,795
26,534
26,530
26,261
26,418
26,820
27,140
27,167
27,570
27,627
27,53
27,805
27,361
27,759
27,262
27,729
28,462
28,548
28,542
28,723
28,635
28,403
28,597
28,305
28,74
28,562
28,767
28,269
28,620
28,669
28,701
28,186
28,341
28,206
29,548
29,372
29,676
29,753
29,247
29,742
29,590
29,405
29,545
29,127
29,337
29,121
29,649
29,329
29,163
29,391
29,239
30,492
30,411
30,187
30,161
30,740
30,667
30,196
30,402
30,636
30,689
31,820
31,282
31,789
31,795
31,305
31,228
31,453
31,476
31,518
31,804
31,107
31,351
32,443
32,445
32,828
32,792
32,97
32,100
32,473
32,585
32,72
32,81
32,474
32,619
32,150
32,64
32,613
32,582
32,201
32,816
33,191
33,580
33,389
33,606
33,652
33,438
33,590
33,443
33,148
33,469
33,737
33,530
33,516
34,707
34,268
34,783
34,270
34,343
34,665
34,165
34,812
34,52
34,803
34,594
34,558
35,236
35,766
35,483
35,142
35,221
35,824
35,212
35,438
35,160
35,95
35,675
36,136
36,191
36,522
36,526
36,484
36,360
36,552
36,568
36,821
36,179
36,698
36,128
37,429
37,602
37,674
37,753
37,777
37,679
37,302
37,142
37,765
37,240
37,816
37,119
37,44
37,77
37,824
38,785
38,214
38,488
38,173
38,656
38,456
38,501
38,610
39,79
39,474
39,442
39,150
39,546
39,570
39,223
39,717
39,493
39,187
39,605
39,418
40,264
40,81
40,576
40,381
40,640
40,447
40,159
40,341
40,48
40,741
40,539
40,471
40,644
40,522
40,67
40,47
40,290
40,120
41,311
41,608
41,179
41,826
41,64
41,323
41,522
41,454
41,128
41,432
41,249
41,214
41,83
41,427
41,336
41,476
42,748
42,354
42,317
42,717
42,214
42,560
42,69
42,569
42,805
42,597
42,625
43,566
43,817
43,324
43,619
43,667
43,547
43,719
43,266
43,618
43,718
43,685
43,633
44,193
44,722
44,247
44,505
44,663
44,422
44,638
44,735
44,612
45,288
45,526
45,188
45,380
45,209
45,360
45,121
45,657
45,76
45,789
45,697
45,318
45,253
45,459
45,146
45,740
46,201
46,381
46,71
46,716
46,75
46,711
46,759
46,527
47,716
47,102
47,224
47,396
47,237
47,309
47,221
47,739
47,427
47,151
47,387
48,578
48,316
48,722
48,70
48,274
48,514
48,687
48,115
48,58
48,698
48,328
48,381
48,78
48,413
48,89
48,409
48,672
48,695
48,52
48,562
48,447
49,384
49,312
49,172
49,241
49,465
49,57
49,76
49,772
