Source,Target,Weight
hanryang1125,jacksepticeye,{}
hanryang1125,saddummy,{}
hanryang1125,guilty1223,{}
hanryang1125,loltyler1,{}
hanryang1125,Emiru,{}
hanryang1125,SLAKUN10,{}
hanryang1125,Ranger,{}
hanryang1125,DisguisedToast,{}
jacksepticeye,Sykkuno,{}
jacksepticeye,lck_korea,{}
jacksepticeye,tmxk319,{}
jacksepticeye,ThisIsNotGeorgeNotFound,{}
jacksepticeye,fps_shaka,{}
jacksepticeye,dreamwastaken,{}
jacksepticeye,faker,{}
saddummy,lec_wooloo,{}
saddummy,msmsms213,{}
guilty1223,Bugha,{}
guilty1223,DropsByPonk,{}
guilty1223,box930205,{}
guilty1223,Etoiles,{}
guilty1223,wkgml,{}
guilty1223,Scarra,{}
guilty1223,QuackityToo,{}
guilty1223,pokimane,{}
guilty1223,t1_teddy,{}
guilty1223,kimdduddi,{}
guilty1223,silphtv,{}
guilty1223,aimsey,{}
guilty1223,jschlatt,{}
guilty1223,ma_mwa,{}
guilty1223,chodan_,{}
guilty1223,dasoku_aniki,{}
guilty1223,Carola,{}
guilty1223,tommyinnit,{}
guilty1223,CaptainSparklez,{}
loltyler1,apryze,{}
loltyler1,msmsms213,{}
loltyler1,lilypichu,{}
Emiru,xXxTheFocuSxXx,{}
Emiru,k4sen,{}
Emiru,kuiki771,{}
Emiru,juansguarnizo,{}
Emiru,jaewon4915,{}
Emiru,ludwig,{}
Emiru,Tubbo,{}
Emiru,QuackityToo,{}
Emiru,iitztimmy,{}
Emiru,riotgames,{}
Emiru,mistermv,{}
Emiru,aminematue,{}
Emiru,handongsuk,{}
Emiru,loud_coringa,{}
Emiru,nniru,{}
Emiru,DreamAlt_,{}
Emiru,rkdwl12,{}
SLAKUN10,dasoku_aniki,{}
SLAKUN10,flowergam0326,{}
SLAKUN10,awesamdude,{}
SLAKUN10,k4sen,{}
SLAKUN10,oniyadayo,{}
SLAKUN10,lazvell,{}
SLAKUN10,karlnetwork,{}
SLAKUN10,iitztimmy,{}
DisguisedToast,stylishnoob4,{}
DisguisedToast,kato_junichi0817,{}
DisguisedToast,nanayango3o,{}
DisguisedToast,RanbooLive,{}
DisguisedToast,Inoxtag,{}
DisguisedToast,Sykkuno,{}
DisguisedToast,auronplay,{}
DisguisedToast,Tubbo,{}
DisguisedToast,juansguarnizo,{}
DisguisedToast,euriece,{}
DisguisedToast,faker,{}
aba4647,meongsoon,{}
aba4647,baalzebb,{}
aba4647,Robleis,{}
aba4647,hejin0_0,{}
aba4647,hiswattson,{}
aba4647,NickEh30,{}
aba4647,95pingman,{}
baalzebb,insec13,{}
baalzebb,riotgamesru,{}
baalzebb,Deujna,{}
baalzebb,Eret,{}
baalzebb,nokduro,{}
baalzebb,Gabi,{}
baalzebb,dtn_mukai,{}
baalzebb,tsm_reps,{}
baalzebb,yamatonjp,{}
baalzebb,loud_bradoock,{}
baalzebb,riotgames,{}
baalzebb,DanTDM,{}
baalzebb,BarcaGamer,{}
baalzebb,LVNDMARK,{}
baalzebb,pacific8815,{}
baalzebb,rkdthdus930,{}
Robleis,lazvell,{}
Robleis,yufuna,{}
Robleis,nanayango3o,{}
Robleis,cherrypach,{}
Robleis,nodolly,{}
Robleis,JLTomy,{}
Robleis,Gaules,{}
Robleis,silphtv,{}
Robleis,karljacobs,{}
Robleis,stylishnoob4,{}
Robleis,t1_cuzz,{}
Robleis,pokimane,{}
Robleis,sah_yang,{}
Robleis,jschlatt,{}
Robleis,YoDa,{}
Robleis,WankilStudio,{}
Robleis,8cho,{}
hejin0_0,Fundy,{}
hejin0_0,snip3down,{}
hejin0_0,su_ning,{}
hejin0_0,xQcOW,{}
hejin0_0,shroud,{}
hejin0_0,jinjalim,{}
hejin0_0,omgvodka,{}
hejin0_0,Baiano,{}
hejin0_0,riotgames,{}
hejin0_0,playapex,{}
hejin0_0,qcnb123,{}
hejin0_0,brtt,{}
hejin0_0,tst1023,{}
hejin0_0,dltjdwls5507,{}
hejin0_0,Alexby11,{}
hejin0_0,som0322,{}
hejin0_0,FaZeSway,{}
hejin0_0,D3stri,{}
hejin0_0,t1zeus_,{}
hejin0_0,QuackityToo,{}
hejin0_0,msmsms213,{}
hejin0_0,lovelyyeon,{}
hejin0_0,ZeratoR,{}
NickEh30,JLAmaru,{}
NickEh30,Foolish_Gamers,{}
NickEh30,aimsey,{}
NickEh30,tommyinnit,{}
NickEh30,Domingo,{}
NickEh30,ZeratoR,{}
NickEh30,rkdwl12,{}
NickEh30,ludwig,{}
NickEh30,fps_shaka,{}
NickEh30,Philza,{}
NickEh30,tsm_imperialhal,{}
95pingman,crylixblooom,{}
95pingman,jasper7se,{}
95pingman,jungryeok,{}
95pingman,aba4647,{}
95pingman,timthetatman,{}
95pingman,AntoineDaniel,{}
95pingman,TenZ,{}
95pingman,JLBichouu,{}
95pingman,detectiveconan_,{}
95pingman,h3h3productions,{}
